account,amount
21cSDMSVcunaqbNSfWGJCmS2GHEmsTLr43j92j9MCmtzCChg,3333
243RkAy5BGrj5HtmUtkJSaY1ePQ4XosQzsHnJaZGeY6qPbqD,3333
223oKMzRHgFyiUtt7eoehFHBjdgK6Sd7rhBhu67UrQy5L8M1,3320.346
21ZyMB88UP1rmxX392pw6vE6QpZf6KgAtwX39ZGm3dYsJ4cV,3280.4
24TuHRHYVTnzoETWXC4REFyqZoW2FyMwE8WiLB2UUqz9VNsM,3249.311
23RbgagB8Z9wWYGMQkJZtJpWti4AtbNhuuRq8USURyhs6wMT,3246.691
24ajeufnXYzRuk2W7tR9WBhRTw6pNaj8AoCSiSQEtnYaYDU7,3233.995
23sjHtPjxEhygwJyJwMLkPxi4bhgPxU2BRA6cwNbUfFEbSv8,3202.109
24R9DWgRZG8Hyo36GvXN3cAdSrTieirsKXMPnpEniXdCSmnH,3194.727
23QscYfpAenhAjMJpgeQt3WxN6pxvXDsWKCC9cctVPkhVsRc,3135.337
24zTSRctqdbxyZQhtMaoo7ffX9yHDtNjjgmpQkhtkEfXwcjc,3035.907
25BHN6y6NPP2azgFDecbQTgJW81FtTFySEpqYf7SgBRfgXA4,3007.221
25twch34dmrFVXS7BYWoiaPXmZa9itmHTqqJq42bzZFg86Wm,3006.167
22KzjBnZrLwC6AvRdoxTKWdjL25RxdQ6pGJuVLm1LpRjfAcF,3001.585
22HkcpcLThryAjk8k5bfVf3ipgw945XEtMmQYwLaEvccWsTT,3001.479
23uuSZSGkksa1XpDXrEsXvBVQ28FPXUrEKLSUz41NbJXK1CM,3000
24VUq9UmpoCVHtVX2QpVfnjBxQz2zxrgpwYDyAmpYjFY6fxk,3000
25R2RJ8y78WqpE5DkcMsp3yFTnxKrxh4LqkvsdcM2v6T28eG,2997.334
25cyzqJm7CWS29Czby4C2H5sXixfhM5CWYZWdyW4FfTedhoL,2985.798
263AqwbsRZmBjHWk7G6FxUrmgr7QxxPWDea5GPPS2aj9CTW7,2954
22jgwRxAkkuuei3AzURjHvpoMbZbSocXHCD8RuuwqumyiRQs,2866.042
26dohcw5zCwbvNetezcSNDtNxY8usRPXZPuKWZPP8cYFWQ7q,2837.92
24HzwK2w9tDpDHQ5XQQNii3hFnKewJTWfHaZHqGBALCo1XD7,2823.888
25dfHhNRzAWLPzi9BGkfvBCVLf7f2jr7Y16cBGbgFCLh8Y3T,2728.043
22jkzgjTdG1e5PHuZLuJgb6qdcX6nydggkR69WjwqPqAhewd,2697.131
235kJrfWVrjHjzuHFrGPqk5GZoQjaNryadJZH9S68kAoEQ7L,2687.752
